epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,764.681,1.02712,0.77224,1.22102,0.88935,0.8343,0.91657,0.67712,0.94218,0.66855,1.20914,0.0009035,0.0009035,0.0009035
44,782.011,1.00657,0.76486,1.22234,0.85425,0.82428,0.89185,0.66014,0.94961,0.73609,1.21552,0.00089525,0.00089525,0.00089525
45,799.268,0.98714,0.74094,1.21165,0.87869,0.85816,0.91851,0.67213,0.94585,0.66733,1.21399,0.000887,0.000887,0.000887
46,816.765,0.99067,0.75774,1.21352,0.87738,0.86699,0.91647,0.68656,0.92199,0.66142,1.18925,0.00087875,0.00087875,0.00087875
47,834.254,0.97789,0.72549,1.19589,0.88067,0.85671,0.91989,0.68611,0.92427,0.66476,1.20143,0.0008705,0.0008705,0.0008705
48,851.554,1.01572,0.76542,1.21768,0.87363,0.84395,0.89742,0.66126,0.95687,0.71045,1.20603,0.00086225,0.00086225,0.00086225
49,868.795,0.99095,0.73424,1.20189,0.87378,0.85725,0.91041,0.66764,0.95595,0.6893,1.22484,0.000854,0.000854,0.000854
50,886.125,0.97517,0.71017,1.19517,0.86563,0.87013,0.91307,0.6728,0.9305,0.67255,1.19586,0.00084575,0.00084575,0.00084575
51,903.405,1.01768,0.75304,1.21163,0.88054,0.84655,0.90821,0.67438,0.93097,0.67317,1.1957,0.0008375,0.0008375,0.0008375
52,920.682,0.9758,0.71508,1.18688,0.87852,0.86678,0.9207,0.67964,0.94267,0.65039,1.20124,0.00082925,0.00082925,0.00082925
53,938.054,0.97338,0.72495,1.19367,0.8735,0.835,0.9053,0.66938,0.93547,0.69287,1.19762,0.000821,0.000821,0.000821
54,955.379,0.96298,0.70341,1.1783,0.88116,0.86103,0.91198,0.68312,0.91442,0.64338,1.1855,0.00081275,0.00081275,0.00081275
55,972.744,0.96361,0.70336,1.18172,0.8461,0.85519,0.90313,0.6748,0.9246,0.71239,1.18772,0.0008045,0.0008045,0.0008045
56,990.142,0.96777,0.71006,1.17988,0.89466,0.83389,0.90262,0.6702,0.93297,0.67868,1.19223,0.00079625,0.00079625,0.00079625
57,1007.44,0.95676,0.67719,1.17791,0.9215,0.84135,0.91516,0.68605,0.92057,0.6388,1.18776,0.000788,0.000788,0.000788
58,1024.69,0.95171,0.67556,1.16933,0.8713,0.85899,0.91433,0.67537,0.93222,0.66907,1.19344,0.00077975,0.00077975,0.00077975
59,1041.96,0.94022,0.68565,1.16738,0.88588,0.86376,0.9199,0.68787,0.91042,0.62269,1.1898,0.0007715,0.0007715,0.0007715
