model,accuracy,macro_f1,weighted_f1,glioma_f1,meningioma_f1,pituitary_f1,no_tumor_f1
resnet50,0.8363636363636363,0.8445782875995758,0.8356793819722173,0.8776371308016878,0.7916666666666666,0.757396449704142,0.9516129032258065
mobilenet_v2,0.8649350649350649,0.8681281202292165,0.8649529829658621,0.8962655601659751,0.8235294117647058,0.8379888268156425,0.9147286821705426
efficientnet_b0,0.8181818181818182,0.8224982704447088,0.8168413881522866,0.8412698412698413,0.7677725118483413,0.7954545454545454,0.8854961832061069
